;InContry;;
01/04/2023;0;;
02/04/2023;0;;
03/04/2023;0;;
04/04/2023;0;;
05/04/2023;0;;
06/04/2023;0;;
07/04/2023;0;;
08/04/2023;0;;
09/04/2023;0;;
10/04/2023;0;;
11/04/2023;0;;
12/04/2023;0;;
13/04/2023;0;;
14/04/2023;0;;
15/04/2023;0;;
16/04/2023;0;;
17/04/2023;0;;
18/04/2023;0;;
19/04/2023;0;;
20/04/2023;0;;
21/04/2023;0;;
22/04/2023;0;;
23/04/2023;0;;
24/04/2023;0;;
25/04/2023;0;;
26/04/2023;0;;
27/04/2023;0;;
28/04/2023;0;;
29/04/2023;0;;
30/04/2023;0;;
01/05/2023;0;;
02/05/2023;0;;
03/05/2023;0;;
04/05/2023;0;;
05/05/2023;0;;
06/05/2023;0;;
07/05/2023;0;;
08/05/2023;0;;
09/05/2023;0;;
10/05/2023;0;;
11/05/2023;0;;
12/05/2023;0;;
13/05/2023;0;;
14/05/2023;0;;
15/05/2023;0;;
16/05/2023;0;;
17/05/2023;0;;
18/05/2023;0;;
19/05/2023;0;;
20/05/2023;0;;
21/05/2023;0;;
22/05/2023;0;;
23/05/2023;0;;
24/05/2023;0;;
25/05/2023;0;;
26/05/2023;0;;
27/05/2023;0;;
28/05/2023;0;;
29/05/2023;0;;
30/05/2023;0;;
31/05/2023;0;;
01/06/2023;0;;
02/06/2023;0;;
03/06/2023;0;;
04/06/2023;0;;
05/06/2023;0;;
06/06/2023;0;;
07/06/2023;0;;
08/06/2023;0;;
09/06/2023;0;;
10/06/2023;0;;
11/06/2023;0;;
12/06/2023;0;;
13/06/2023;0;;
14/06/2023;0;;
15/06/2023;0;;
16/06/2023;0;;
17/06/2023;0;;
18/06/2023;0;;
19/06/2023;0;;
20/06/2023;0;;
21/06/2023;0;;
22/06/2023;0;;
23/06/2023;0;;
24/06/2023;0;;
25/06/2023;0;;
26/06/2023;0;;
27/06/2023;0;;
28/06/2023;0;;
29/06/2023;0;;
30/06/2023;0;;
01/07/2023;0;;
02/07/2023;0;;
03/07/2023;0;;
04/07/2023;0;;
05/07/2023;0;;
06/07/2023;0;;
07/07/2023;0;;
08/07/2023;0;;
09/07/2023;0;;
10/07/2023;0;;
11/07/2023;0;;
12/07/2023;0;;
13/07/2023;0;;
14/07/2023;0;;
15/07/2023;0;;
16/07/2023;0;;
17/07/2023;0;;
18/07/2023;0;;
19/07/2023;0;;
20/07/2023;1;;
21/07/2023;1;;
22/07/2023;1;;
23/07/2023;1;;
24/07/2023;1;;
25/07/2023;1;;
26/07/2023;1;;
27/07/2023;1;;
28/07/2023;1;;
29/07/2023;1;;
30/07/2023;1;;
31/07/2023;0;;
01/08/2023;0;;
02/08/2023;0;86;180
03/08/2023;0;86;179
04/08/2023;0;86;178
05/08/2023;1;86;177
06/08/2023;1;85;176
07/08/2023;1;84;175
08/08/2023;1;83;174
09/08/2023;1;82;173
10/08/2023;1;81;172
11/08/2023;1;80;171
12/08/2023;1;79;170
13/08/2023;1;78;169
14/08/2023;1;77;168
15/08/2023;1;76;167
16/08/2023;1;75;166
17/08/2023;1;74;165
18/08/2023;1;73;164
19/08/2023;1;72;163
20/08/2023;1;71;162
21/08/2023;1;70;161
22/08/2023;1;69;160
23/08/2023;1;68;159
24/08/2023;1;67;158
25/08/2023;1;66;157
26/08/2023;1;65;156
27/08/2023;1;64;155
28/08/2023;1;63;154
29/08/2023;1;62;153
30/08/2023;1;61;152
31/08/2023;1;60;151
01/09/2023;1;59;150
02/09/2023;0;58;149
03/09/2023;0;58;148
04/09/2023;1;58;147
05/09/2023;1;57;146
06/09/2023;1;56;145
07/09/2023;1;55;144
08/09/2023;1;54;143
09/09/2023;1;53;142
10/09/2023;1;52;141
11/09/2023;1;51;140
12/09/2023;1;50;139
13/09/2023;1;49;138
14/09/2023;1;48;137
15/09/2023;1;47;136
16/09/2023;1;46;135
17/09/2023;1;45;134
18/09/2023;1;44;133
19/09/2023;1;43;132
20/09/2023;1;42;131
21/09/2023;1;41;130
22/09/2023;1;40;129
23/09/2023;1;39;128
24/09/2023;1;38;127
25/09/2023;1;37;126
26/09/2023;0;36;125
27/09/2023;0;36;124
28/09/2023;0;36;123
29/09/2023;0;36;122
30/09/2023;0;36;121
01/10/2023;0;36;120
02/10/2023;0;36;119
03/10/2023;0;36;118
04/10/2023;0;36;117
05/10/2023;0;36;116
06/10/2023;0;36;115
07/10/2023;0;36;114
08/10/2023;0;36;113
09/10/2023;0;36;112
10/10/2023;0;36;111
11/10/2023;0;36;110
12/10/2023;0;36;109
13/10/2023;0;36;108
14/10/2023;0;36;107
15/10/2023;0;36;106
16/10/2023;0;36;105
17/10/2023;0;36;104
18/10/2023;0;36;103
19/10/2023;0;36;102
20/10/2023;0;36;101
21/10/2023;0;36;100
22/10/2023;0;36;99
23/10/2023;0;36;98
24/10/2023;0;36;97
25/10/2023;0;36;96
26/10/2023;0;36;95
27/10/2023;0;36;94
28/10/2023;0;36;93
29/10/2023;0;36;92
30/10/2023;0;36;91
31/10/2023;0;36;90
01/11/2023;0;36;89
02/11/2023;0;36;88
03/11/2023;0;36;87
04/11/2023;0;36;86
05/11/2023;0;36;85
06/11/2023;0;36;84
07/11/2023;0;36;83
08/11/2023;0;36;82
09/11/2023;0;36;81
10/11/2023;0;36;80
11/11/2023;0;36;79
12/11/2023;0;36;78
13/11/2023;0;36;77
14/11/2023;0;36;76
15/11/2023;0;36;75
16/11/2023;0;36;74
17/11/2023;0;36;73
18/11/2023;0;36;72
19/11/2023;0;36;71
20/11/2023;0;36;70
21/11/2023;0;36;69
22/11/2023;0;36;68
23/11/2023;0;36;67
24/11/2023;0;36;66
25/11/2023;0;36;65
26/11/2023;0;36;64
27/11/2023;0;36;63
28/11/2023;0;36;62
29/11/2023;0;36;61
30/11/2023;0;36;60
01/12/2023;0;36;59
02/12/2023;0;36;58
03/12/2023;0;36;57
04/12/2023;0;36;56
05/12/2023;0;36;55
06/12/2023;0;36;54
07/12/2023;0;36;53
08/12/2023;0;36;52
09/12/2023;0;36;51
10/12/2023;0;36;50
11/12/2023;0;36;49
12/12/2023;0;36;48
13/12/2023;0;36;47
14/12/2023;0;36;46
15/12/2023;0;36;45
16/12/2023;0;36;44
17/12/2023;0;36;43
18/12/2023;0;36;42
19/12/2023;0;36;41
20/12/2023;0;36;40
21/12/2023;0;36;39
22/12/2023;0;36;38
23/12/2023;0;36;37
24/12/2023;1;36;36
25/12/2023;1;35;35
26/12/2023;1;34;34
27/12/2023;1;33;33
28/12/2023;1;32;32
29/12/2023;1;31;31
30/12/2023;1;30;30
31/12/2023;1;29;29
01/01/2024;1;28;28
02/01/2024;1;27;27
03/01/2024;1;26;26
04/01/2024;1;25;25
05/01/2024;1;24;24
06/01/2024;1;23;23
07/01/2024;1;22;22
08/01/2024;1;21;21
09/01/2024;1;20;20
10/01/2024;1;19;19
11/01/2024;1;18;18
12/01/2024;1;17;17
13/01/2024;1;16;16
14/01/2024;1;15;15
15/01/2024;1;14;14
16/01/2024;1;13;13
17/01/2024;1;12;12
18/01/2024;1;11;11
19/01/2024;1;10;10
20/01/2024;1;9;9
21/01/2024;1;8;8
22/01/2024;1;7;7
23/01/2024;1;6;6
24/01/2024;1;5;5
25/01/2024;1;4;4
26/01/2024;1;3;3
27/01/2024;1;2;2
28/01/2024;1;1;1
29/01/2024;0;;
30/01/2024;0;;
31/01/2024;0;;
01/02/2024;0;;
02/02/2024;0;;
03/02/2024;0;;
04/02/2024;0;;
05/02/2024;0;;
06/02/2024;0;;
07/02/2024;0;;
08/02/2024;0;;
09/02/2024;0;;
10/02/2024;0;;
11/02/2024;0;;
12/02/2024;0;;
13/02/2024;0;;
14/02/2024;0;;
15/02/2024;0;;
16/02/2024;0;;
17/02/2024;0;;
18/02/2024;0;;
19/02/2024;0;;
20/02/2024;0;;
21/02/2024;0;;
22/02/2024;0;;
23/02/2024;0;;
24/02/2024;0;;
25/02/2024;0;;
26/02/2024;0;;
27/02/2024;0;;
28/02/2024;0;;
29/02/2024;0;;
01/03/2024;0;;
02/03/2024;0;;
03/03/2024;0;;
04/03/2024;0;;
05/03/2024;0;;
06/03/2024;0;;
07/03/2024;0;;
08/03/2024;0;;
09/03/2024;0;;
10/03/2024;0;;
11/03/2024;0;;
12/03/2024;0;;
13/03/2024;0;;
14/03/2024;0;;
15/03/2024;0;;
16/03/2024;0;;
17/03/2024;0;;
18/03/2024;0;;
19/03/2024;0;;
20/03/2024;0;;
21/03/2024;0;;
22/03/2024;0;;
23/03/2024;0;;
24/03/2024;0;;
25/03/2024;0;;
26/03/2024;0;;
27/03/2024;0;;
28/03/2024;0;;
29/03/2024;0;;
30/03/2024;0;;
31/03/2024;0;;
01/04/2024;0;;
02/04/2024;0;;
03/04/2024;0;;
04/04/2024;0;;
05/04/2024;0;;
06/04/2024;0;;
07/04/2024;0;;
08/04/2024;0;;
09/04/2024;0;;
10/04/2024;0;;
11/04/2024;0;;
12/04/2024;0;;
13/04/2024;0;;
14/04/2024;0;;
15/04/2024;0;;
16/04/2024;0;;
17/04/2024;0;;
18/04/2024;0;;
19/04/2024;0;;
20/04/2024;0;;
21/04/2024;0;;
22/04/2024;0;;
23/04/2024;0;;
24/04/2024;0;;
25/04/2024;0;;
26/04/2024;0;;
27/04/2024;0;;
28/04/2024;0;;
29/04/2024;0;;
30/04/2024;0;;
01/05/2024;0;;
02/05/2024;0;;
03/05/2024;0;;
04/05/2024;0;;
05/05/2024;0;;
06/05/2024;0;;
07/05/2024;0;;
08/05/2024;0;;
09/05/2024;0;;
10/05/2024;0;;
11/05/2024;0;;
12/05/2024;0;;
13/05/2024;0;;
14/05/2024;0;;
15/05/2024;0;;
16/05/2024;0;;
17/05/2024;0;;
18/05/2024;0;;
19/05/2024;0;;
20/05/2024;0;;
21/05/2024;0;;
22/05/2024;0;;
23/05/2024;0;;
24/05/2024;0;;
25/05/2024;0;;
26/05/2024;0;;
27/05/2024;0;;
28/05/2024;0;;
29/05/2024;0;;
30/05/2024;0;;
31/05/2024;0;;
01/06/2024;0;;
02/06/2024;0;;
03/06/2024;0;;
04/06/2024;0;;
05/06/2024;0;;
06/06/2024;0;;
07/06/2024;0;;
08/06/2024;0;;
09/06/2024;0;;
10/06/2024;0;;
11/06/2024;0;;
12/06/2024;0;;
13/06/2024;0;;
14/06/2024;0;;
15/06/2024;0;;
16/06/2024;0;;
17/06/2024;0;;
18/06/2024;0;;
19/06/2024;0;;
20/06/2024;0;;
21/06/2024;0;;
22/06/2024;0;;
23/06/2024;0;;
24/06/2024;0;;
25/06/2024;0;;
26/06/2024;0;;
27/06/2024;0;;
28/06/2024;0;;
29/06/2024;0;;
30/06/2024;0;;
01/07/2024;0;;
02/07/2024;0;;
03/07/2024;0;;
04/07/2024;0;;
05/07/2024;0;;
06/07/2024;0;;
07/07/2024;0;;
08/07/2024;0;;
09/07/2024;0;;
10/07/2024;0;;
11/07/2024;0;;
12/07/2024;0;;
13/07/2024;0;;
14/07/2024;0;;
15/07/2024;0;;
16/07/2024;0;;
17/07/2024;0;;
18/07/2024;0;;
19/07/2024;0;;
20/07/2024;0;;
21/07/2024;0;;
22/07/2024;0;;
23/07/2024;0;;
24/07/2024;0;;
25/07/2024;0;;
26/07/2024;0;;
27/07/2024;0;;
28/07/2024;0;;
29/07/2024;0;;
30/07/2024;0;;
31/07/2024;0;;
01/08/2024;0;;
02/08/2024;0;;
03/08/2024;0;;
04/08/2024;0;;
05/08/2024;0;;
06/08/2024;0;;
07/08/2024;0;;
08/08/2024;0;;
09/08/2024;0;;
10/08/2024;0;;
11/08/2024;0;;
12/08/2024;0;;
13/08/2024;0;;
14/08/2024;0;;
15/08/2024;0;;
16/08/2024;0;;
17/08/2024;0;;
18/08/2024;0;;
19/08/2024;0;;
20/08/2024;0;;
21/08/2024;0;;
22/08/2024;0;;
23/08/2024;0;;
24/08/2024;0;;
25/08/2024;0;;
26/08/2024;0;;
27/08/2024;0;;
28/08/2024;0;;
29/08/2024;0;;
30/08/2024;0;;
31/08/2024;0;;
